Category,Item,Qty,Preferred specification,Purpose,Alternative,Unit price USD,Line total USD,Where to look,Notes
Control,ESP32-S3 dev board,1,"ESP32-S3-DevKitC-1, USB-C, N8R2 or N16R8",Main controller,"ESP32-S3-WROOM DevKit clone; ESP32-WROOM-32 (lose native USB)",9.00,9.00,https://www.google.com/search?q=ESP32-S3-DevKitC-1+N16R8,"N8R2 frees GPIO33-37. N16R8 has more PSRAM if you add a camera later."
Control,ESP32-C3 dev board,1,"ESP32-C3 SuperMini, USB-C",Remote controller,"ESP32-C3-DevKitM-1; any ESP32 board with 13 free GPIO",4.00,4.00,https://www.google.com/search?q=ESP32-C3+SuperMini,"Pin map in PINOUT.md assumes the SuperMini pinout."
Actuator,High-torque servo,1,"MG996R, metal gear, 9.4 kgf.cm @ 5V",Lid,"DS3218 (20 kgf.cm) for a heavier lid; DS3225",5.50,5.50,https://www.google.com/search?q=MG996R+servo,"See the torque budget in CAD_README.md before substituting. Do not fit an SG90."
Actuator,Micro servo metal gear,2,"MG90S, 2.2 kgf.cm",Eye pan and tilt,"SG90 (plastic gear, shorter life)",3.00,6.00,https://www.google.com/search?q=MG90S+servo,"Metal gear matters here - the eye moves constantly."
Actuator,Micro servo,2,"SG90, 1.8 kgf.cm",Finger and hatch,"MG90S for longer life",2.00,4.00,https://www.google.com/search?q=SG90+servo,"The finger only has to flip a switch. Low torque is fine and safer."
Sensor,Time-of-flight sensor,2,"VL53L0X breakout, I2C, XSHUT broken out",Throat detection and person detection,"VL53L1X (longer range); HC-SR04 (cheaper, worse)",4.50,9.00,https://www.google.com/search?q=VL53L0X+breakout+XSHUT,"XSHUT pin is REQUIRED - two sensors share address 0x29 at boot."
Sensor,IR break-beam pair,1,"3-pin IR obstacle module or a beam-break pair, 3.3V capable",Lid safety backup,"Second VL53L0X; omit (set USE_IR_THROAT 0)",2.50,2.50,https://www.google.com/search?q=IR+break+beam+sensor+3.3V,"Second independent channel for the hand-detect safety path."
Sensor,Microswitch SPDT,2,"Lever microswitch, 5A, with roller or lever",Lid open and closed limits,"Hall sensor + magnet (no contact wear)",0.60,1.20,https://www.google.com/search?q=SPDT+lever+microswitch,"Wire COM-GND and NC-GPIO so a broken wire fails safe."
UI,OLED display,2,"0.96in SSD1306 128x64 I2C",Bin face and remote status,"1.3in SH1106 (change the driver); ST7789 TFT",3.50,7.00,https://www.google.com/search?q=0.96+SSD1306+OLED+I2C,"One for the bin, one for the remote. Check the address (0x3C or 0x3D)."
UI,WS2812B LED strip,1,"12 pixels, 5V, 60/m cut to length",Lighting and mood,"WS2812B ring 12; any addressable 5V strip",3.00,3.00,https://www.google.com/search?q=WS2812B+strip+5V,"12 pixels at brightness 90 draws about 220 mA."
Audio,I2S amplifier,1,"MAX98357A breakout, 3.2W mono",Audio,"DFPlayer Mini + microSD (set AUDIO_BACKEND)",4.50,4.50,https://www.google.com/search?q=MAX98357A+I2S+amplifier,"I2S build streams WAV from LittleFS - no SD card needed."
Audio,Speaker,1,"4 ohm 3W, 40-50 mm",Audio,"8 ohm 2W (quieter)",2.50,2.50,https://www.google.com/search?q=4+ohm+3W+speaker+40mm,"Never ground either terminal - the amp output is bridge-tied."
Control input,Latching pushbutton,1,"19 mm illuminated latching, 1NO1NC + LED",NORMAL MODE switch,"12 mm toggle switch; any latching switch the finger can reach",4.00,4.00,https://www.google.com/search?q=19mm+illuminated+latching+pushbutton,"Must LATCH - a momentary button gives the finger nothing to turn off."
Control input,Arcade button 16 mm,7,"16 mm momentary, screw mount",Remote D-pad OPEN CLOSE,"12 mm tactile with printed caps",0.90,6.30,https://www.google.com/search?q=16mm+arcade+button+momentary,""
Control input,Tactile switch 12 mm,8,"12x12 mm tactile with cap",Remote aux ladder,"6 mm tactile",0.25,2.00,https://www.google.com/search?q=12mm+tactile+switch+cap,""
Control input,Micro tactile switch,1,"6 mm tactile",Hidden demo trigger,"Reed switch + magnet (fully concealed)",0.20,0.20,https://www.google.com/search?q=6mm+tactile+switch,"Mount where the operator's hand naturally rests. See HACKATHON_DEMO.md."
Power,PSU 5V 5A,1,"5V 5A 25W, barrel jack or screw terminal, CE/UL marked",Main supply,"5V 4A (tighter); 12V 5A + buck to 5V",11.00,11.00,https://www.google.com/search?q=5V+5A+power+supply+25W,"Buy a marked supply from a real vendor. This one plugs into the wall."
Power,Buck converter,1,"LM2596 or MP1584, 3A, adjustable",Logic rail if you feed 12V,"Not needed on a 5V-only build",1.50,1.50,https://www.google.com/search?q=LM2596+buck+converter,"Only required if your main supply is 12V."
Power,Master switch,1,"DPST rocker, 10A, panel mount",Cuts actuator power,"SPST 10A rocker",1.50,1.50,https://www.google.com/search?q=DPST+rocker+switch+10A,"Must break the servo rail, not the logic rail."
Power,Fuse holder + fuse,1,"Panel blade fuse holder + 5A blade fuse",Overcurrent protection,"Polyfuse 4A hold",1.20,1.20,https://www.google.com/search?q=panel+mount+blade+fuse+holder,""
